,Weight,height
1300,81.18,160.52
1301,101.78,177.98
1302,86.52,167.69
1303,58.92,149.96
1304,87.74,166.07
1305,99.56,152.18
1306,75.46,141.8
1307,77.76,135.53
1308,101.5,171.29
1309,61.1,178.28
1310,81.96,136.04
1311,87.08,173.09
1312,99.56,174.02
1313,55.82,161.54
1314,65.72,146.27
1315,86.7,170.18
1316,69.1,196.64
1317,98.32,167.96
1318,76.7,136.25
1319,67.92,139.46
1320,77.02,197.72
1321,84.78,188.54
1322,85.06,172.64
1323,82.0,136.76
1324,64.14,143.81
1325,100.3,178.01
1326,72.18,194.51
1327,58.620000000000005,148.52
1328,82.8,192.71
1329,55.46,169.79
1330,54.4,158.54
1331,84.58,166.55
1332,82.48,138.26
1333,59.12,182.81
1334,60.88,144.07999999999998
1335,54.3,160.97
1336,97.64,163.04
1337,84.14,157.73
1338,84.0,159.86
1339,55.019999999999996,162.11
1340,74.16,131.81
1341,99.88,159.92
1342,80.1,135.76999999999998
1343,88.42,207.53
1344,80.92,194.0
1345,84.48,193.07
1346,85.44,185.6
1347,87.14,162.11
1348,65.44,141.65
1349,83.68,155.69
1350,58.22,184.19
1351,87.1,178.79
1352,72.18,140.09
1353,88.56,204.05
1354,57.120000000000005,158.99
1355,78.76,135.29
1356,52.32,154.07
1357,84.56,139.13
1358,77.42,152.66
1359,86.02,139.82
1360,62.76,148.46
1361,85.52,154.61
1362,85.24,162.38
1363,77.62,155.54
1364,86.4,166.31
1365,82.22,212.63
1366,60.519999999999996,160.28
1367,100.86,163.49
1368,77.78,192.77
1369,80.76,212.24
1370,56.18,180.17
1371,73.64,140.6
1372,65.76,143.57
1373,81.28,155.69
